dv,logdv,period,model,restriction,endogenous,instrumented,latestart,weights,decadal_dv,decadal_shock,dropoutliers,dropsmallczs,prefmods,i
D.incRate_corrected_estimated_100,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,155
D.incRate_corrected_estimated_100,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,156
D.incRate_corrected_estimated_25,FALSE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,157
D.incRate_corrected_estimated_25,FALSE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,158
D.incRate_corrected_estimated_25,TRUE,first,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,159
D.incRate_corrected_estimated_25,TRUE,first,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,160
D.incRate_corrected_estimated_25,TRUE,long,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,161
D.incRate_corrected_estimated_25,TRUE,long,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,162
D.incRate_corrected_estimated_25,TRUE,long.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,163
D.incRate_corrected_estimated_25,TRUE,long.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,164
D.incRate_corrected_estimated_25,TRUE,second,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,165
D.incRate_corrected_estimated_25,TRUE,second,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,166
D.incRate_corrected_estimated_25,TRUE,second.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,167
D.incRate_corrected_estimated_25,TRUE,second.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,168
D.incRate_corrected_estimated_25,TRUE,stacked,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,169
D.incRate_corrected_estimated_25,TRUE,stacked,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,170
D.incRate_corrected_estimated_25,TRUE,stacked.alt,czfe,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,171
D.incRate_corrected_estimated_25,TRUE,stacked.alt,czfe,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,172
D.incRate_corrected_estimated_25,TRUE,stacked.alt,extracontrols,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,173
D.incRate_corrected_estimated_25,TRUE,stacked.alt,extracontrols,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,174
D.incRate_corrected_estimated_25,TRUE,stacked.alt,periodfe,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,175
D.incRate_corrected_estimated_25,TRUE,stacked.alt,periodfe,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,176
D.incRate_corrected_estimated_25,TRUE,stacked.alt,preferred,consistent,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,177
D.incRate_corrected_estimated_25,TRUE,stacked.alt,preferred,consistent,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,178
D.incRate_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,china,instrumented,samestart,yes,yes,yes,no,no,FALSE,179
D.incRate_corrected_estimated_25,FALSE,stacked,preferred,unrestricted,china_alt,instrumented,samestart,yes,yes,yes,no,no,FALSE,180
D.incRate_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,latestart,yes,yes,yes,no,no,FALSE,181
D.incRate_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,no,yes,yes,no,no,FALSE,182
